dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,16,Andrey Rublev,Carlos Alcaraz,True,model_a,model_a,True,1,1,False,False,5,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,17,Andrey Rublev,Holger Rune,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,18,Novak Djokovic,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,19,Jannik Sinner,Novak Djokovic,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,20,Andrey Rublev,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,21,Hubert Hurkacz,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,22,Taylor Fritz,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,23,Hubert Hurkacz,Carlos Alcaraz,True,model_a,model_b,False,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,24,Stefanos Tsitsipas,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,25,Andrey Rublev,Carlos Alcaraz,True,model_b,model_a,False,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,26,Stefanos Tsitsipas,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,6,6,4
